MAHDOUDE,AQUIFER,LOCATION,XUTM,YUTM,ZONEUTM,X,Y,LEVEL_MSL,LEVEL_SRTM
ازغند,ازغند,اول جاده گلستان,663811,3900413,40,58.8,35.23,1219,1219
ازغند,ازغند,جاده نای,657193,3900365,40,58.73,35.23,1185,1185
ازغند,ازغند,جاده چنار,672794,3900574,40,58.9,35.23,1261,1261
ازغند,ازغند,جردوی,646336,3897986,40,58.61,35.21,1109,1109
ازغند,ازغند,خوشدره,675883,3896858,40,58.93,35.2,1207,1207
ازغند,ازغند,زرمهر,681875,3899783,40,59,35.22,1267,1267
ازغند,ازغند,سلطان آباد,668370,3899247,40,58.85,35.22,1260,1260
ازغند,ازغند,شمال شادمهر,686603,3895977,40,59.05,35.19,1236,1236
بجستان یونسی,بجستان,اکبر آباد,599173,3823656,40,58.08,34.55,1127,1127
بجستان یونسی,بجستان,تقاطع راه آهن و جاده,611605,3830254,40,58.22,34.61,1065,1065
بجستان یونسی,بجستان,جاده فخرآباد - شماره 1,605512,3826402,40,58.15,34.57,1104,1104
بجستان یونسی,بجستان,راه مطرآباد,605077,3819998,40,58.14,34.52,1229,1229
بجستان یونسی,بجستان,شمال شرقی بجستان,611353,3823471,40,58.21,34.55,1201,1201
بجستان یونسی,بجستان,شمال غربی رضاییه,610305,3815685,40,58.2,34.48,1356,1356
بجستان یونسی,قاسم آباد,غرب مرندیز جدید,619000,3848676,40,58.3,34.77,837,837
بجستان یونسی,یونسی,بین سردق و مرندیز,608033,3849840,40,58.18,34.79,816,816
بجستان یونسی,یونسی,بین فخرآباد و سردق,598395,3847735,40,58.08,34.77,812,812
بجستان یونسی,یونسی,جاده سردق,605361,3844165,40,58.15,34.73,849,849
بجستان یونسی,یونسی,جاده فخرآباد - شماره 2,603925,3833479,40,58.13,34.64,983,983
بجستان یونسی,یونسی,جاده فخرآباد - شماره 3,598091,3841256,40,58.07,34.71,840,840
بجستان یونسی,یونسی,جنوب غربی یونسی,628134,3851084,40,58.4,34.79,824,824
بجستان یونسی,یونسی,جنوب قاسم آباد 1,572797,3816382,40,57.79,34.49,877,877
بجستان یونسی,یونسی,جنوب قاسم آباد 2,567850,3812200,40,57.74,34.45,842,842
بجستان یونسی,یونسی,حوض حاجی میرک,566119,3804036,40,57.72,34.38,866,866
بجستان یونسی,یونسی,حوض عباس,556100,3801350,40,57.61,34.35,843,843
بجستان یونسی,یونسی,ذبیح آباد,584257,3839053,40,57.92,34.69,821,821
بجستان یونسی,یونسی,شمال قاسم آباد,579116,3822427,40,57.86,34.54,928,928
بجستان یونسی,یونسی,شمال چاه مرادی,594644,3835805,40,58.03,34.66,865,865
