MAHDOUDE,AQUIFER,DATE,AET
ازغند,ازغند,1396-10-01,0.21
ازغند,ازغند,1396-11-01,1.814
ازغند,ازغند,1396-12-01,6.02
ازغند,ازغند,1397-01-01,9.942
ازغند,ازغند,1397-02-01,11.637
ازغند,ازغند,1397-03-01,11.394
ازغند,ازغند,1397-04-01,10.614
ازغند,ازغند,1397-05-01,9.797
ازغند,ازغند,1397-06-01,9.848
ازغند,ازغند,1397-07-01,6.1
ازغند,ازغند,1397-08-01,4.751
ازغند,ازغند,1397-09-01,2.956
ازغند,ازغند,1397-10-01,1.357
ازغند,ازغند,1397-11-01,3.305
ازغند,ازغند,1397-12-01,6.67
ازغند,ازغند,1398-01-01,19.6
ازغند,ازغند,1398-02-01,28.264
ازغند,ازغند,1398-03-01,21.029
ازغند,ازغند,1398-04-01,11.736
ازغند,ازغند,1398-05-01,9.258
ازغند,ازغند,1398-06-01,11.296
ازغند,ازغند,1398-07-01,7.09
ازغند,ازغند,1398-08-01,3.596
ازغند,ازغند,1398-09-01,1.57
ازغند,ازغند,1398-10-01,1.861
ازغند,ازغند,1398-11-01,2.502
ازغند,ازغند,1398-12-01,8.898
ازغند,ازغند,1399-01-01,14.227
ازغند,ازغند,1399-02-01,33.387
ازغند,ازغند,1399-03-01,20.811
ازغند,ازغند,1399-04-01,19.359
ازغند,ازغند,1399-05-01,15.519
ازغند,ازغند,1399-06-01,13.083
ازغند,ازغند,1399-07-01,7.43
ازغند,ازغند,1399-08-01,4.163
ازغند,ازغند,1399-09-01,2.615
ازغند,ازغند,1399-10-01,2.275
ازغند,ازغند,1399-11-01,3.199
ازغند,ازغند,1399-12-01,3.809
ازغند,ازغند,1400-01-01,10.026
ازغند,ازغند,1400-02-01,12.385
ازغند,ازغند,1400-03-01,10.917
ازغند,ازغند,1400-04-01,10.1
ازغند,ازغند,1400-05-01,11.396
ازغند,ازغند,1400-06-01,11.354
ازغند,ازغند,1400-07-01,5.538
ازغند,ازغند,1400-08-01,2.729
ازغند,ازغند,1400-09-01,2.417
ازغند,ازغند,1400-10-01,1.198
ازغند,ازغند,1400-11-01,2.477
ازغند,ازغند,1400-12-01,5.327
ازغند,ازغند,1401-01-01,7.889
ازغند,ازغند,1401-02-01,13.932
ازغند,ازغند,1401-03-01,11.663
ازغند,ازغند,1401-04-01,7.851
ازغند,ازغند,1401-05-01,7.27
ازغند,ازغند,1401-06-01,8.954
ازغند,ازغند,1401-07-01,7.595
ازغند,ازغند,1401-08-01,3.266
ازغند,ازغند,1401-09-01,1.313
ازغند,ازغند,1401-10-01,0.326
ازغند,ازغند,1401-11-01,1.601
ازغند,ازغند,1401-12-01,5.394
ازغند,ازغند,1402-01-01,8.768
ازغند,ازغند,1402-02-01,9.568
ازغند,ازغند,1402-03-01,13.685
ازغند,ازغند,1402-04-01,8.313
ازغند,ازغند,1402-05-01,7.255
ازغند,ازغند,1402-06-01,3.617
ازغند,ازغند,1402-07-01,1.526
ازغند,ازغند,1402-08-01,3.312
ازغند,ازغند,1402-09-01,1.631
ازغند,ازغند,1402-10-01,1.689
ازغند,ازغند,1402-11-01,2.449
ازغند,ازغند,1402-12-01,3.248
ازغند,ازغند,1403-01-01,6.731
ازغند,ازغند,1403-02-01,10.425
ازغند,ازغند,1403-03-01,14.128
ازغند,ازغند,1403-04-01,10.152
ازغند,ازغند,1403-05-01,6.135
ازغند,ازغند,1403-06-01,8.037
ازغند,ازغند,1403-07-01,6.703
ازغند,ازغند,1403-08-01,3.415
ازغند,ازغند,1403-09-01,1.313
ازغند,ازغند,1403-10-01,1.222
ازغند,ازغند,1403-11-01,1.481
ازغند,ازغند,1403-12-01,2.766
ازغند,ازغند,1404-01-01,8.736
ازغند,ازغند,1404-02-01,10.577
ازغند,ازغند,1404-03-01,9.194
ازغند,ازغند,1404-04-01,6.559
ازغند,ازغند,1404-05-01,9.031
ازغند,ازغند,1404-06-01,7.742
ازغند,ازغند,1404-07-01,5.435
ازغند,ازغند,1404-08-01,3.039
