MAHDOUDE,AQUIFER,DATE,NDVI_MEAN,NDVI_MEDIAN,NDVI_MAX
ازغند,ازغند,1391-12-01,,,
ازغند,ازغند,1392-01-01,0.307626,0.279285,0.778662
ازغند,ازغند,1392-02-01,0.247374,0.197284,0.878188
ازغند,ازغند,1392-03-01,0.173713,0.146475,0.784954
ازغند,ازغند,1392-04-01,0.16494,0.134758,0.784377
ازغند,ازغند,1392-05-01,0.16013,0.126931,0.789721
ازغند,ازغند,1392-06-01,0.152993,0.119064,0.77395
ازغند,ازغند,1392-07-01,0.145967,0.111262,0.719916
ازغند,ازغند,1392-08-01,0.14593,0.115186,0.757357
ازغند,ازغند,1392-09-01,0.159142,0.126908,0.828671
ازغند,ازغند,1392-10-01,0.167789,0.130818,0.816061
ازغند,ازغند,1392-11-01,0.165406,0.126899,0.703865
ازغند,ازغند,1392-12-01,0.153427,0.123047,0.695138
ازغند,ازغند,1393-01-01,0.19043,0.14649,0.818158
ازغند,ازغند,1393-02-01,0.195721,0.158162,0.811943
ازغند,ازغند,1393-03-01,0.153113,0.123019,0.760871
ازغند,ازغند,1393-04-01,0.143896,0.111282,0.780068
ازغند,ازغند,1393-05-01,0.139123,0.107379,0.776893
ازغند,ازغند,1393-06-01,0.134588,0.10348,0.765152
ازغند,ازغند,1393-07-01,0.133916,0.103493,0.755485
ازغند,ازغند,1393-08-01,0.136349,0.103473,0.839704
ازغند,ازغند,1393-09-01,0.150258,0.119137,0.850354
ازغند,ازغند,1393-10-01,0.182311,0.138721,0.852862
ازغند,ازغند,1393-11-01,0.199617,0.154221,0.852349
ازغند,ازغند,1393-12-01,0.266957,0.224597,0.834267
ازغند,ازغند,1394-01-01,0.290741,0.259678,0.886474
ازغند,ازغند,1394-02-01,0.173102,0.142563,0.725194
ازغند,ازغند,1394-03-01,0.153217,0.130827,0.750849
ازغند,ازغند,1394-04-01,0.149323,0.119105,0.779798
ازغند,ازغند,1394-05-01,0.142263,0.111301,0.782843
ازغند,ازغند,1394-06-01,0.144308,0.111281,0.810071
ازغند,ازغند,1394-07-01,0.135316,0.103471,0.885049
ازغند,ازغند,1394-08-01,0.131843,0.103465,0.771122
ازغند,ازغند,1394-09-01,0.143464,0.115173,0.830548
ازغند,ازغند,1394-10-01,0.175034,0.130847,0.826152
ازغند,ازغند,1394-11-01,0.182787,0.138674,0.84559
ازغند,ازغند,1394-12-01,0.197307,0.146471,0.860449
ازغند,ازغند,1395-01-01,0.197241,0.150379,0.857253
ازغند,ازغند,1395-02-01,0.196903,0.160157,0.856642
ازغند,ازغند,1395-03-01,0.155289,0.126963,0.785371
ازغند,ازغند,1395-04-01,0.148398,0.119126,0.795412
ازغند,ازغند,1395-05-01,0.141832,0.107392,0.79949
ازغند,ازغند,1395-06-01,0.13786,0.107374,0.780934
ازغند,ازغند,1395-07-01,0.132831,0.099559,0.743774
ازغند,ازغند,1395-08-01,0.128053,0.10347,0.800139
ازغند,ازغند,1395-09-01,0.135113,0.11127,0.785242
