MAHDOUDE,AQUIFER,JALALI_YEAR,PERIOD_START,PERIOD_END_EXCLUSIVE,PROBABLE_IRRIGATED_AREA_HA,ANALYSIS_MASK_AREA_HA,VALID_OBSERVATION_AREA_HA,PROBABLE_PERCENT_OF_ANALYSIS,VALID_PERCENT_OF_ANALYSIS
ازغند,ازغند,1393,1393-03-01,1393-07-01,204.8344,1782.6298,1782.6298,11.49,100.0
بجستان - یونسی,بجستان,1393,1393-03-01,1393-07-01,37.2788,201.412,108.2833,18.51,53.76
بجستان - یونسی,یونسی,1393,1393-03-01,1393-07-01,26.5114,1049.0859,1033.8105,2.53,98.54
بردسکن,بردسکن,1393,1393-03-01,1393-07-01,1631.5673,18197.7999,15569.9644,8.97,85.56
تایباد,تایباد,1393,1393-03-01,1393-07-01,322.741,9398.6947,9398.6947,3.43,100.0
تربت حیدریه,تربت حیدریه,1393,1393-03-01,1393-07-01,956.7447,14464.2823,14463.9891,6.61,100.0
جنگل,جنگل,1393,1393-03-01,1393-07-01,285.8986,4669.3602,4669.3602,6.12,100.0
جوین,جوین,1393,1393-03-01,1393-07-01,10353.7818,72437.4014,72437.4014,14.29,100.0
خواف,خواف,1393,1393-03-01,1393-07-01,580.5185,10150.7653,10138.3175,5.72,99.88
داورزن - فرومد,داورزن - فرومد,1393,1393-03-01,1393-07-01,795.9725,6347.9876,6347.9876,12.54,100.0
درونه,درونه,1393,1393-03-01,1393-07-01,59.1598,1585.9412,1585.9412,3.73,100.0
درگز,آبخوان جنوبی,1393,1393-03-01,1393-07-01,644.3899,7296.7136,7048.0434,8.83,96.59
درگز,آبخوان شمالی,1393,1393-03-01,1393-07-01,758.8543,5869.6891,5869.6891,12.93,100.0
دشت رخ,دشت رخ,1393,1393-03-01,1393-07-01,4985.4245,18266.602,18262.6594,27.29,99.98
رشتخوار,رشتخوار,1393,1393-03-01,1393-07-01,688.541,13646.4134,13377.3864,5.05,98.03
ریوش,ریوش,1393,1393-03-01,1393-07-01,354.2199,2118.0285,2118.0285,16.72,100.0
زوزن,زوزن,1393,1393-03-01,1393-07-01,15.1267,563.4806,563.4806,2.68,100.0
سبزوار,سبزوار,1393,1393-03-01,1393-07-01,1397.2298,19728.6542,19728.6542,7.08,100.0
سرخس,سرخس,1393,1393-03-01,1393-07-01,8518.2867,26221.8714,26221.8714,32.49,100.0
سنگ بست,سنگ بست,1393,1393-03-01,1393-07-01,12.7934,156.4478,156.4478,8.18,100.0
شهر نو - باخرز,شهر نو - باخرز,1393,1393-03-01,1393-07-01,373.6205,2955.5842,2955.5842,12.64,100.0
صالح آباد - جنت آباد,آبخوان شرقی,1393,1393-03-01,1393-07-01,2.1819,45.2249,45.2249,4.82,100.0
صالح آباد - جنت آباد,آبخوان غربی,1393,1393-03-01,1393-07-01,7.8639,331.4598,331.4598,2.37,100.0
عطائیه,عطائیه,1393,1393-03-01,1393-07-01,369.7167,6097.1451,6097.1451,6.06,100.0
عمرانی - بیمرغ,آبخوان شرقی,1393,1393-03-01,1393-07-01,19.9752,1050.8981,1050.8981,1.9,100.0
عمرانی - بیمرغ,آبخوان غربی,1393,1393-03-01,1393-07-01,9.1618,766.8117,766.8117,1.19,100.0
عمرانی - بیمرغ,عمرانی,1393,1393-03-01,1393-07-01,3.9497,175.8872,175.8872,2.25,100.0
فریمان - تربت جام,فریمان - تربت جام,1393,1393-03-01,1393-07-01,9181.1749,65726.5536,65726.5536,13.97,100.0
قلعه میدان,آبخوان شرقی,1393,1393-03-01,1393-07-01,292.0361,2139.7342,2049.2455,13.65,95.77
قلعه میدان,آبخوان غربی,1393,1393-03-01,1393-07-01,0.4378,25.5242,20.7934,1.72,81.47
محولات,محولات,1393,1393-03-01,1393-07-01,700.6505,24162.1282,24114.6343,2.9,99.8
مشهد,مشهد,1393,1393-03-01,1393-07-01,12608.2293,79515.9996,79029.2571,15.86,99.39
نریمانی,آبخوان شرقی,1393,1393-03-01,1393-07-01,52.5936,643.4738,643.4738,8.17,100.0
نریمانی,آبخوان شمالی,1393,1393-03-01,1393-07-01,102.9809,335.9989,335.9989,30.65,100.0
نریمانی,نریمانی,1393,1393-03-01,1393-07-01,332.4614,4153.6365,4153.6365,8.0,100.0
نیشابور,نیشابور,1393,1393-03-01,1393-07-01,12767.3692,91615.1209,91601.8026,13.94,99.99
نیشابور,پهنه شمالی,1393,1393-03-01,1393-07-01,67.3594,491.397,491.397,13.71,100.0
کاشمر,سعدالدین,1393,1393-03-01,1393-07-01,0.0735,203.727,29.6363,0.04,14.55
کاشمر,کاشمر,1393,1393-03-01,1393-07-01,3579.1999,20591.0053,13867.7845,17.38,67.35
کرات,کرات,1393,1393-03-01,1393-07-01,343.3498,11519.9183,11519.9183,2.98,100.0
کلات نادری,کلات نادری,1393,1393-03-01,1393-07-01,196.2211,1701.9831,1701.9831,11.53,100.0
گناباد,گناباد,1393,1393-03-01,1393-07-01,310.2212,2096.5105,2096.5105,14.8,100.0
گیسور,گیسور,1393,1393-03-01,1393-07-01,687.2529,8776.2954,8776.2954,7.83,100.0
ینگجه,ینگجه,1393,1393-03-01,1393-07-01,181.7315,709.9335,709.9335,25.6,100.0
ازغند,ازغند,1394,1394-03-01,1394-07-01,215.8871,1782.6298,1782.6298,12.11,100.0
بجستان - یونسی,بجستان,1394,1394-03-01,1394-07-01,61.6879,201.412,201.412,30.63,100.0
بجستان - یونسی,یونسی,1394,1394-03-01,1394-07-01,32.0527,1049.0859,1049.0859,3.06,100.0
بردسکن,بردسکن,1394,1394-03-01,1394-07-01,2378.2453,18197.7999,18197.5063,13.07,100.0
تایباد,تایباد,1394,1394-03-01,1394-07-01,336.8579,9398.6947,9398.6947,3.58,100.0
تربت حیدریه,تربت حیدریه,1394,1394-03-01,1394-07-01,803.5242,14464.2823,14464.2823,5.56,100.0
جنگل,جنگل,1394,1394-03-01,1394-07-01,238.4068,4669.3602,4669.3602,5.11,100.0
جوین,جوین,1394,1394-03-01,1394-07-01,6736.1154,72437.4014,53599.3237,9.3,73.99
خواف,خواف,1394,1394-03-01,1394-07-01,611.9837,10150.7653,10150.7653,6.03,100.0
داورزن - فرومد,داورزن - فرومد,1394,1394-03-01,1394-07-01,804.8874,6347.9876,6347.3364,12.68,99.99
درونه,درونه,1394,1394-03-01,1394-07-01,51.2483,1585.9412,1585.9412,3.23,100.0
درگز,آبخوان جنوبی,1394,1394-03-01,1394-07-01,825.9565,7296.7136,7296.7136,11.32,100.0
درگز,آبخوان شمالی,1394,1394-03-01,1394-07-01,879.5821,5869.6891,5869.6891,14.99,100.0
دشت رخ,دشت رخ,1394,1394-03-01,1394-07-01,3573.9713,18266.602,18257.8418,19.57,99.95
رشتخوار,رشتخوار,1394,1394-03-01,1394-07-01,631.5604,13646.4134,13646.4134,4.63,100.0
ریوش,ریوش,1394,1394-03-01,1394-07-01,365.565,2118.0285,2118.0285,17.26,100.0
زوزن,زوزن,1394,1394-03-01,1394-07-01,16.0874,563.4806,563.4806,2.85,100.0
سبزوار,سبزوار,1394,1394-03-01,1394-07-01,971.9653,19728.6542,19728.6542,4.93,100.0
سرخس,سرخس,1394,1394-03-01,1394-07-01,7895.7026,26221.8714,24137.5766,30.11,92.05
سنگ بست,سنگ بست,1394,1394-03-01,1394-07-01,7.6134,156.4478,156.4478,4.87,100.0
شهر نو - باخرز,شهر نو - باخرز,1394,1394-03-01,1394-07-01,380.7993,2955.5842,2955.5842,12.88,100.0
صالح آباد - جنت آباد,آبخوان شرقی,1394,1394-03-01,1394-07-01,0.0729,45.2249,45.2249,0.16,100.0
صالح آباد - جنت آباد,آبخوان غربی,1394,1394-03-01,1394-07-01,7.791,331.4598,331.4598,2.35,100.0
عطائیه,عطائیه,1394,1394-03-01,1394-07-01,237.8371,6097.1451,6097.1451,3.9,100.0
عمرانی - بیمرغ,آبخوان شرقی,1394,1394-03-01,1394-07-01,21.323,1050.8981,1050.8981,2.03,100.0
عمرانی - بیمرغ,آبخوان غربی,1394,1394-03-01,1394-07-01,5.4674,766.8117,766.8117,0.71,100.0
عمرانی - بیمرغ,عمرانی,1394,1394-03-01,1394-07-01,6.0429,175.8872,175.8872,3.44,100.0
فریمان - تربت جام,فریمان - تربت جام,1394,1394-03-01,1394-07-01,10232.4443,65726.5536,65712.6229,15.57,99.98
قلعه میدان,آبخوان شرقی,1394,1394-03-01,1394-07-01,331.9319,2139.7342,2139.7342,15.51,100.0
قلعه میدان,آبخوان غربی,1394,1394-03-01,1394-07-01,0.1459,25.5242,25.5242,0.57,100.0
محولات,محولات,1394,1394-03-01,1394-07-01,615.3791,24162.1282,24162.1282,2.55,100.0
مشهد,مشهد,1394,1394-03-01,1394-07-01,13189.9253,79515.9996,79479.5504,16.59,99.95
نریمانی,آبخوان شرقی,1394,1394-03-01,1394-07-01,58.0774,643.4738,643.4738,9.03,100.0
نریمانی,آبخوان شمالی,1394,1394-03-01,1394-07-01,111.0452,335.9989,335.9989,33.05,100.0
نریمانی,نریمانی,1394,1394-03-01,1394-07-01,335.6105,4153.6365,4153.6365,8.08,100.0
نیشابور,نیشابور,1394,1394-03-01,1394-07-01,10428.681,91615.1209,91615.0486,11.38,100.0
نیشابور,پهنه شمالی,1394,1394-03-01,1394-07-01,79.4261,491.397,491.397,16.16,100.0
کاشمر,سعدالدین,1394,1394-03-01,1394-07-01,1.9121,203.727,203.727,0.94,100.0
کاشمر,کاشمر,1394,1394-03-01,1394-07-01,5634.5789,20591.0053,20591.0053,27.36,100.0
کرات,کرات,1394,1394-03-01,1394-07-01,556.4637,11519.9183,11519.9183,4.83,100.0
کلات نادری,کلات نادری,1394,1394-03-01,1394-07-01,238.8602,1701.9831,1701.9831,14.03,100.0
گناباد,گناباد,1394,1394-03-01,1394-07-01,342.2164,2096.5105,2096.5105,16.32,100.0
گیسور,گیسور,1394,1394-03-01,1394-07-01,521.6565,8776.2954,8776.2954,5.94,100.0
ینگجه,ینگجه,1394,1394-03-01,1394-07-01,203.3619,709.9335,709.9335,28.65,100.0
ازغند,ازغند,1395,1395-03-01,1395-07-01,228.1766,1782.6298,1782.6298,12.8,100.0
بجستان - یونسی,بجستان,1395,1395-03-01,1395-07-01,55.3268,201.412,201.412,27.47,100.0
بجستان - یونسی,یونسی,1395,1395-03-01,1395-07-01,23.1175,1049.0859,1049.0859,2.2,100.0
بردسکن,بردسکن,1395,1395-03-01,1395-07-01,2269.5033,18197.7999,18197.6531,12.47,100.0
تایباد,تایباد,1395,1395-03-01,1395-07-01,508.7595,9398.6947,9398.6947,5.41,100.0
تربت حیدریه,تربت حیدریه,1395,1395-03-01,1395-07-01,734.8837,14464.2823,14464.2823,5.08,100.0
جنگل,جنگل,1395,1395-03-01,1395-07-01,183.8674,4669.3602,4669.3602,3.94,100.0
جوین,جوین,1395,1395-03-01,1395-07-01,11489.8348,72437.4014,72366.0198,15.86,99.9
خواف,خواف,1395,1395-03-01,1395-07-01,432.8852,10150.7653,10150.7653,4.26,100.0
داورزن - فرومد,داورزن - فرومد,1395,1395-03-01,1395-07-01,748.0345,6347.9876,6347.9151,11.78,100.0
درونه,درونه,1395,1395-03-01,1395-07-01,40.735,1585.9412,1585.9412,2.57,100.0
درگز,آبخوان جنوبی,1395,1395-03-01,1395-07-01,786.8873,7296.7136,5481.5627,10.78,75.12
درگز,آبخوان شمالی,1395,1395-03-01,1395-07-01,743.9419,5869.6891,4839.1637,12.67,82.44
دشت رخ,دشت رخ,1395,1395-03-01,1395-07-01,3722.1725,18266.602,18266.4559,20.38,100.0
رشتخوار,رشتخوار,1395,1395-03-01,1395-07-01,684.0263,13646.4134,13646.4134,5.01,100.0
ریوش,ریوش,1395,1395-03-01,1395-07-01,355.1005,2118.0285,2118.0285,16.77,100.0
زوزن,زوزن,1395,1395-03-01,1395-07-01,17.4993,563.4806,563.4806,3.11,100.0
سبزوار,سبزوار,1395,1395-03-01,1395-07-01,1159.4408,19728.6542,19728.6542,5.88,100.0
سرخس,سرخس,1395,1395-03-01,1395-07-01,8275.5072,26221.8714,26221.8714,31.56,100.0
سنگ بست,سنگ بست,1395,1395-03-01,1395-07-01,18.7548,156.4478,156.4478,11.99,100.0
شهر نو - باخرز,شهر نو - باخرز,1395,1395-03-01,1395-07-01,332.339,2955.5842,2955.5842,11.24,100.0
صالح آباد - جنت آباد,آبخوان شرقی,1395,1395-03-01,1395-07-01,0.1457,45.2249,45.2249,0.32,100.0
صالح آباد - جنت آباد,آبخوان غربی,1395,1395-03-01,1395-07-01,7.4263,331.4598,331.4598,2.24,100.0
عطائیه,عطائیه,1395,1395-03-01,1395-07-01,205.6685,6097.1451,6097.1451,3.37,100.0
عمرانی - بیمرغ,آبخوان شرقی,1395,1395-03-01,1395-07-01,21.9144,1050.8981,1050.8981,2.09,100.0
عمرانی - بیمرغ,آبخوان غربی,1395,1395-03-01,1395-07-01,2.2159,766.8117,766.8117,0.29,100.0
عمرانی - بیمرغ,عمرانی,1395,1395-03-01,1395-07-01,4.7779,175.8872,175.8872,2.72,100.0
فریمان - تربت جام,فریمان - تربت جام,1395,1395-03-01,1395-07-01,10974.8353,65726.5536,65726.5536,16.7,100.0
قلعه میدان,آبخوان شرقی,1395,1395-03-01,1395-07-01,323.0395,2139.7342,2139.7342,15.1,100.0
قلعه میدان,آبخوان غربی,1395,1395-03-01,1395-07-01,0.6566,25.5242,25.5242,2.57,100.0
محولات,محولات,1395,1395-03-01,1395-07-01,579.51,24162.1282,24162.1282,2.4,100.0
مشهد,مشهد,1395,1395-03-01,1395-07-01,16028.116,79515.9996,79509.0873,20.16,99.99
نریمانی,آبخوان شرقی,1395,1395-03-01,1395-07-01,62.6218,643.4738,643.4738,9.73,100.0
نریمانی,آبخوان شمالی,1395,1395-03-01,1395-07-01,112.6322,335.9989,335.9989,33.52,100.0
نریمانی,نریمانی,1395,1395-03-01,1395-07-01,385.0336,4153.6365,4153.6365,9.27,100.0
نیشابور,نیشابور,1395,1395-03-01,1395-07-01,11368.6638,91615.1209,91615.0483,12.41,100.0
نیشابور,پهنه شمالی,1395,1395-03-01,1395-07-01,87.1325,491.397,491.397,17.73,100.0
کاشمر,سعدالدین,1395,1395-03-01,1395-07-01,1.765,203.727,203.727,0.87,100.0
کاشمر,کاشمر,1395,1395-03-01,1395-07-01,5632.0274,20591.0053,20587.9957,27.35,99.99
کرات,کرات,1395,1395-03-01,1395-07-01,585.8193,11519.9183,11519.9183,5.09,100.0
کلات نادری,کلات نادری,1395,1395-03-01,1395-07-01,303.3598,1701.9831,1701.9831,17.82,100.0
گناباد,گناباد,1395,1395-03-01,1395-07-01,320.5081,2096.5105,2096.5105,15.29,100.0
گیسور,گیسور,1395,1395-03-01,1395-07-01,461.8934,8776.2954,8776.2954,5.26,100.0
ینگجه,ینگجه,1395,1395-03-01,1395-07-01,235.2599,709.9335,672.4076,33.14,94.71
ازغند,ازغند,1396,1396-03-01,1396-07-01,227.6632,1782.6298,1782.6298,12.77,100.0
بجستان - یونسی,بجستان,1396,1396-03-01,1396-07-01,29.9566,201.412,201.412,14.87,100.0
بجستان - یونسی,یونسی,1396,1396-03-01,1396-07-01,26.3861,1049.0859,1049.0859,2.52,100.0
بردسکن,بردسکن,1396,1396-03-01,1396-07-01,2649.4385,18197.7999,18197.7999,14.56,100.0
تایباد,تایباد,1396,1396-03-01,1396-07-01,622.362,9398.6947,9398.6947,6.62,100.0
تربت حیدریه,تربت حیدریه,1396,1396-03-01,1396-07-01,740.0211,14464.2823,14464.2823,5.12,100.0
جنگل,جنگل,1396,1396-03-01,1396-07-01,266.926,4669.3602,4669.3602,5.72,100.0
جوین,جوین,1396,1396-03-01,1396-07-01,12247.3005,72437.4014,72437.4014,16.91,100.0
خواف,خواف,1396,1396-03-01,1396-07-01,566.2483,10150.7653,10150.7653,5.58,100.0
داورزن - فرومد,داورزن - فرومد,1396,1396-03-01,1396-07-01,869.5071,6347.9876,6347.9151,13.7,100.0
درونه,درونه,1396,1396-03-01,1396-07-01,63.812,1585.9412,1585.9412,4.02,100.0
درگز,آبخوان جنوبی,1396,1396-03-01,1396-07-01,808.6247,7296.7136,6374.1255,11.08,87.36
درگز,آبخوان شمالی,1396,1396-03-01,1396-07-01,884.188,5869.6891,4446.6492,15.06,75.76
دشت رخ,دشت رخ,1396,1396-03-01,1396-07-01,3570.7942,18266.602,18266.602,19.55,100.0
رشتخوار,رشتخوار,1396,1396-03-01,1396-07-01,698.8377,13646.4134,13646.34,5.12,100.0
ریوش,ریوش,1396,1396-03-01,1396-07-01,371.6704,2118.0285,2118.0285,17.55,100.0
زوزن,زوزن,1396,1396-03-01,1396-07-01,22.7038,563.4806,563.4806,4.03,100.0
سبزوار,سبزوار,1396,1396-03-01,1396-07-01,1523.1021,19728.6542,19728.6542,7.72,100.0
سرخس,سرخس,1396,1396-03-01,1396-07-01,8266.4037,26221.8714,26221.8714,31.52,100.0
سنگ بست,سنگ بست,1396,1396-03-01,1396-07-01,12.9512,156.4478,156.4478,8.28,100.0
شهر نو - باخرز,شهر نو - باخرز,1396,1396-03-01,1396-07-01,361.1293,2955.5842,2955.5842,12.22,100.0
صالح آباد - جنت آباد,آبخوان شرقی,1396,1396-03-01,1396-07-01,0.5101,45.2249,45.2249,1.13,100.0
صالح آباد - جنت آباد,آبخوان غربی,1396,1396-03-01,1396-07-01,7.1363,331.4598,331.4598,2.15,100.0
